site,year,season,n_days,mean_mda8,p90_mda8
大寮,2023,summer,91,30.132182103610674,46.837500000000006
大寮,2023,winter,90,48.75273148148148,64.43125
大寮,2024,autumn,91,48.71204212454213,67.10000000000001
大寮,2024,spring,92,48.76096014492754,68.92
大寮,2024,summer,92,30.981017080745346,49.96291666666667
大寮,2024,winter,91,51.16859628466772,65.25
大寮,2025,autumn,91,49.23436682365254,68.3
大寮,2025,spring,92,47.54512810559007,70.48125
大寮,2025,summer,92,32.753234989648035,52.7275
大寮,2025,winter,90,48.749662698412706,61.238749999999996
小港,2018,autumn,91,55.10290423861853,74.28333333333333
小港,2018,spring,92,47.66468038302277,72.73375
小港,2018,summer,92,30.365191511387163,47.446250000000006
小港,2018,winter,90,44.68128306878307,62.746785714285714
小港,2019,autumn,91,60.94020146520147,79.48750000000001
小港,2019,spring,92,45.78084886128365,65.98750000000001
小港,2019,summer,92,26.73352096273292,44.77625000000001
小港,2019,winter,90,46.22922619047619,59.919821428571446
小港,2020,autumn,91,58.25934720041863,74.00000000000001
小港,2020,spring,92,50.8705745341615,73.67375000000001
小港,2020,summer,92,26.71413043478261,44.58500000000001
小港,2020,winter,91,48.12086603872318,63.1125
小港,2021,autumn,91,48.96796180010466,65.65
小港,2021,spring,92,45.064013975155284,67.72732142857144
小港,2021,summer,92,26.585300207039346,39.935
小港,2021,winter,90,48.981541005291014,64.37875
小港,2022,autumn,91,54.91327838827839,69.0625
小港,2022,spring,92,43.53824404761905,65.50375
小港,2022,summer,92,24.64958592132505,42.285000000000004
小港,2022,winter,90,42.24244047619048,54.105000000000004
小港,2023,autumn,91,49.88777472527472,67.7875
小港,2023,spring,92,51.485668995859214,68.77875
小港,2023,summer,92,27.259737318840575,41.98375000000001
小港,2023,winter,90,44.28664682539682,58.542500000000004
小港,2024,autumn,91,45.248495552066984,62.125
小港,2024,spring,92,46.69208721532091,67.7025
小港,2024,summer,92,27.966867236024843,46.478750000000026
小港,2024,winter,91,47.83226059654631,63.2125
小港,2025,autumn,91,45.31710491889063,60.21249999999999
小港,2025,spring,92,45.1221920289855,69.17375
小港,2025,summer,92,31.02686335403726,49.745
小港,2025,winter,90,46.6049537037037,58.86749999999999
左營,2018,autumn,91,64.15194270015698,84.7
左營,2018,spring,92,55.722321428571426,80.3725
左營,2018,summer,92,34.52854554865424,52.36125
左營,2018,winter,90,51.849933862433865,72.17625
左營,2019,autumn,91,70.49127420198849,89.39999999999999
左營,2019,spring,92,55.79754787784679,77.82625
左營,2019,summer,92,32.438179347826086,51.33976190476189
左營,2019,winter,89,54.277942750133754,73.26
左營,2020,autumn,91,64.8649594453166,79.6375
左營,2020,spring,92,55.11865295031056,80.105
左營,2020,summer,92,31.864356884057973,51.88125
左營,2020,winter,91,52.56962977498692,69.7625
左營,2021,autumn,91,54.45833333333334,75.68750000000001
左營,2021,spring,92,52.372858436853015,76.23000000000002
左營,2021,summer,92,32.168957039337485,44.210000000000015
左營,2021,winter,90,55.395998677248684,73.59875000000002
左營,2022,autumn,91,61.045238095238105,73.85000000000001
左營,2022,spring,92,51.52494177018634,74.60125000000001
左營,2022,summer,92,29.609899068322992,50.8932142857143
左營,2022,winter,90,47.350529100529116,61.11125000000002
左營,2023,autumn,91,57.055376766091065,75.41250000000001
左營,2023,spring,92,57.74151138716358,72.06125000000002
左營,2023,summer,92,30.73173524844722,46.28375000000002
左營,2023,winter,90,48.854583333333345,66.23535714285715
左營,2024,autumn,91,50.49529696493984,69.83750000000002
左營,2024,spring,92,53.48880046583852,77.62375000000003
左營,2024,summer,92,32.35089932712217,50.387500000000024
左營,2024,winter,91,52.081815803244396,66.97500000000001
左營,2025,autumn,91,49.646395866038745,66.30000000000001
左營,2025,spring,92,50.15047230848863,74.42750000000001
左營,2025,summer,92,33.735934265010364,52.03125000000002
左營,2025,winter,90,50.04878306878309,61.53750000000003
復興,2018,autumn,91,54.95236787022502,72.2125
復興,2018,spring,92,46.72653338509316,70.6725
復興,2018,summer,92,30.96868530020704,46.95678571428572
復興,2018,winter,90,42.863941798941795,58.85625
復興,2019,autumn,91,59.65830716902146,76.72500000000001
復興,2019,spring,92,45.20449016563147,65.72125000000001
復興,2019,summer,92,27.45447075569359,47.095000000000006
復興,2019,winter,90,44.267149470899476,58.503750000000004
復興,2020,autumn,91,58.28653192046049,72.325
復興,2020,spring,92,48.018083592132506,70.01750000000001
復興,2020,summer,92,27.75028467908903,46.83625000000001
復興,2020,winter,91,44.520225013082154,57.2
復興,2021,autumn,91,50.17328623757195,71.3125
復興,2021,spring,92,46.1185947204969,66.40249999999999
復興,2021,summer,92,28.64142727743271,40.011250000000004
復興,2021,winter,90,50.024682539682544,68.05874999999999
復興,2022,autumn,91,56.55019623233909,71.575
復興,2022,spring,92,47.42124741200828,68.67125
復興,2022,summer,92,25.943691770186334,45.33250000000002
復興,2022,winter,90,43.286891534391536,55.71125
復興,2023,autumn,91,51.01390633176347,67.55
復興,2023,spring,92,52.4297619047619,67.4675
復興,2023,summer,92,27.832188146997925,41.97874999999999
復興,2023,winter,90,45.04943783068783,59.75249999999999
復興,2024,autumn,91,45.8263997906855,64.19999999999999
復興,2024,spring,92,49.231088250517594,71.99833333333333
復興,2024,summer,92,28.87229554865424,45.75166666666666
復興,2024,winter,91,47.50287153322867,60.76249999999999
復興,2025,autumn,91,45.92442438513867,61.8625
復興,2025,spring,92,47.55827510351967,70.47625000000001
復興,2025,summer,92,32.02991718426501,50.035000000000004
復興,2025,winter,90,46.825185185185184,60.3475
林園,2018,autumn,91,69.16251962323392,91.07500000000002
林園,2018,spring,92,57.783119824016566,85.06250000000001
林園,2018,summer,92,39.17134446169773,59.95892857142858
林園,2018,winter,90,58.158439153439154,80.52250000000001
林園,2019,autumn,91,72.65624018838305,91.25
林園,2019,spring,92,57.79446816770187,80.33500000000001
林園,2019,summer,86,35.80632613510521,51.525000000000006
林園,2019,winter,90,57.39292989417989,77.58125
林園,2020,autumn,90,68.74602513227514,84.10625
林園,2020,spring,92,55.409297360248445,77.3294642857143
林園,2020,summer,92,34.38147644927536,55.59000000000001
林園,2020,winter,91,55.72852564102564,71.7
林園,2021,autumn,91,57.867183411826275,79.375
林園,2021,spring,92,57.70462603519668,81.39999999999999
