site,season,hour,mean_o3,p90_o3,n_hours
橋頭,spring,23,24.025170998632014,41.2,731
橋頭,summer,0,13.58025850340136,25.160000000000004,735
橋頭,summer,1,12.804402173913045,23.9,736
橋頭,summer,2,12.248029891304347,23.3,736
橋頭,summer,3,11.774320652173913,22.9,736
橋頭,summer,4,11.080789115646258,22.9,735
橋頭,summer,5,11.089481582537518,24.5,733
橋頭,summer,6,11.09110054347826,22.15,736
橋頭,summer,7,15.185591836734694,24.690000000000005,735
橋頭,summer,8,21.991301369863013,32.61000000000001,730
橋頭,summer,9,28.028071625344353,42.1,726
橋頭,summer,10,32.98493036211699,51.960000000000015,718
橋頭,summer,11,35.242124645892346,59.2,706
橋頭,summer,12,35.51226703755216,59.72000000000003,719
橋頭,summer,13,34.08156643356644,55.7,715
橋頭,summer,14,32.04720445062587,50.92,719
橋頭,summer,15,30.182391608391608,48.6,715
橋頭,summer,16,27.91131837307153,43.66600000000001,713
橋頭,summer,17,25.49571627260083,40.16000000000002,719
橋頭,summer,18,23.026836313617604,36.94,727
橋頭,summer,19,20.661687242798354,33.2,729
橋頭,summer,20,18.57017783857729,30.9,731
橋頭,summer,21,17.118989071038254,28.189999999999998,732
橋頭,summer,22,15.426024590163935,26.59,732
橋頭,summer,23,14.482707482993199,26.860000000000003,735
橋頭,winter,0,16.431293463143255,27.220000000000002,719
橋頭,winter,1,15.523055555555556,27.0,720
橋頭,winter,2,14.759666203059806,25.820000000000004,719
橋頭,winter,3,14.195352112676057,25.63000000000001,710
橋頭,winter,4,13.423055162659123,25.439999999999998,707
橋頭,winter,5,11.694159544159543,23.59,702
橋頭,winter,6,9.913247863247864,22.2,702
橋頭,winter,7,9.872701949860724,20.160000000000014,718
橋頭,winter,8,13.841701534170154,22.9,717
橋頭,winter,9,21.55832167832168,34.96,715
橋頭,winter,10,31.364529914529918,48.089999999999996,702
橋頭,winter,11,41.79956458635704,60.24000000000001,689
橋頭,winter,12,50.46585365853658,71.1,697
橋頭,winter,13,54.35997150997151,73.89,702
橋頭,winter,14,54.38392603129446,72.46000000000001,703
橋頭,winter,15,52.607549857549856,68.5,702
橋頭,winter,16,48.435150645624105,65.6,697
橋頭,winter,17,41.10748587570621,58.460000000000015,708
橋頭,winter,18,34.37842031029619,49.620000000000005,709
橋頭,winter,19,29.234642356241235,41.88,713
橋頭,winter,20,25.157162921348316,37.1,712
橋頭,winter,21,21.810224089635856,32.540000000000006,714
橋頭,winter,22,19.439410939691445,30.4,713
橋頭,winter,23,17.700139664804468,28.4,716
美濃,autumn,0,21.059059474412173,32.28000000000001,723
美濃,autumn,1,19.109128630705392,30.2,723
美濃,autumn,2,17.24896265560166,27.180000000000007,723
美濃,autumn,3,15.80807799442897,25.7,718
美濃,autumn,4,14.419635343618515,23.7,713
美濃,autumn,5,13.282162921348315,22.09,712
美濃,autumn,6,11.132088520055325,19.08000000000001,723
美濃,autumn,7,14.835595567867035,23.389999999999997,722
美濃,autumn,8,24.31027777777778,36.11000000000001,720
美濃,autumn,9,35.58372739916551,50.8,719
美濃,autumn,10,43.969816643159376,59.3,709
美濃,autumn,11,48.878571428571426,65.61,700
美濃,autumn,12,53.08573466476462,70.7,701
美濃,autumn,13,58.797004279600564,78.0,701
美濃,autumn,14,62.99115549215407,86.4,701
美濃,autumn,15,61.936609686609685,83.78999999999999,702
美濃,autumn,16,57.46290550070521,79.52000000000001,709
美濃,autumn,17,51.17114845938375,70.24000000000001,714
美濃,autumn,18,45.188300835654594,62.360000000000014,718
美濃,autumn,19,39.5813110181311,56.14,717
美濃,autumn,20,34.30682451253482,50.0,718
美濃,autumn,21,29.779999999999998,43.8,720
美濃,autumn,22,26.344583333333333,39.2,720
美濃,autumn,23,23.54487534626039,35.78999999999999,722
美濃,spring,0,22.17554347826087,37.3,736
美濃,spring,1,20.242255434782606,34.1,736
美濃,spring,2,18.732065217391302,32.9,736
美濃,spring,3,16.963673469387754,29.560000000000002,735
美濃,spring,4,15.565075034106412,26.9,733
美濃,spring,5,14.596969696969696,25.9,726
美濃,spring,6,13.448497267759562,22.9,732
美濃,spring,7,18.316803278688525,30.44999999999999,732
美濃,spring,8,27.846712328767122,44.410000000000004,730
美濃,spring,9,37.80840220385675,57.2,726
美濃,spring,10,45.19193324061196,63.8,719
美濃,spring,11,50.61884669479606,70.1,711
美濃,spring,12,56.14132581100141,77.82000000000001,709
美濃,spring,13,60.946694796061884,85.6,711
美濃,spring,14,61.03881019830028,86.80000000000001,706
美濃,spring,15,58.07648725212464,83.25,706
美濃,spring,16,53.74929577464789,77.62,710
美濃,spring,17,48.62298050139276,71.73,718
美濃,spring,18,43.49766162310866,65.24,727
美濃,spring,19,38.83406593406593,60.2,728
美濃,spring,20,34.32694938440493,54.7,731
美濃,spring,21,30.15443383356071,48.4,733
美濃,spring,22,26.839455782312925,44.0,735
美濃,spring,23,24.294959128065393,41.1,734
美濃,summer,0,12.547599451303157,20.64000000000001,729
美濃,summer,1,11.692739726027398,19.430000000000007,730
美濃,summer,2,11.247123287671233,20.8,730
美濃,summer,3,10.56323731138546,20.2,729
美濃,summer,4,10.016323731138545,19.8,729
美濃,summer,5,10.979448275862069,20.3,725
美濃,summer,6,10.306010928961749,18.59,732
美濃,summer,7,14.28743169398907,21.0,732
美濃,summer,8,20.753030303030304,29.35,726
美濃,summer,9,26.848484848484848,36.45,726
美濃,summer,10,31.654735376044567,43.5,718
美濃,summer,11,35.25500705218618,48.440000000000005,709
美濃,summer,12,38.15951704545454,54.51000000000001,704
美濃,summer,13,40.70481586402266,59.5,706
美濃,summer,14,40.36218487394958,60.17000000000001,714
美濃,summer,15,37.82731092436975,55.77,714
美濃,summer,16,34.12346368715084,51.05,716
美濃,summer,17,30.406545961002788,44.13000000000001,718
美濃,summer,18,26.234525447042643,39.2,727
美濃,summer,19,22.412242090784044,34.58,727
美濃,summer,20,19.285342465753423,30.310000000000002,730
美濃,summer,21,16.824554183813444,26.7,729
美濃,summer,22,15.019890260631001,24.74000000000001,729
美濃,summer,23,13.598767123287672,22.110000000000003,730
美濃,winter,0,19.118585298196948,30.5,721
美濃,winter,1,16.746731571627258,27.6,719
美濃,winter,2,14.871111111111112,25.0,720
美濃,winter,3,13.38153846153846,22.360000000000003,715
美濃,winter,4,12.180252100840336,20.2,714
美濃,winter,5,10.6393006993007,19.060000000000002,715
美濃,winter,6,8.742382271468143,16.689999999999998,722
美濃,winter,7,9.160694444444443,16.01,720
美濃,winter,8,15.035972222222222,23.51,720
美濃,winter,9,24.917802503477052,38.4,719
美濃,winter,10,35.717323943661974,52.61000000000001,710
美濃,winter,11,42.82190611664296,58.68000000000001,703
美濃,winter,12,47.966857962697276,62.44,697
美濃,winter,13,52.644017094017094,69.1,702
美濃,winter,14,56.57463976945245,75.7,694
美濃,winter,15,57.945624103299856,78.84,697
美濃,winter,16,54.91212553495007,74.4,701
美濃,winter,17,48.79477401129943,67.5,708
